hi, my doctor has come to the conclusion i have IBS after not showing any signs of chrons in a colonoscopy test.	NEGATIVE
I have every symptom of chrons however: Ab pain, bowel changes, bloating, pain, have had red eyes, sore on leg that change color when fading, mouth ulcers, etc	NEGATIVE
my question is has anyone been diagnosed with chrons after having a clear colonoscpy?	NEUTRAL
Sorry madam but I was diagnosed with it after my bloodwork, colonoscopy and biopsies came back positive.	NEUTRAL
Most people I have talked to that have Chrons also had the positive colonoscopys which sealed the deal.	NEUTRAL
Sorry.	NOT_LABELED
It is possible you have Crohns in the small intestine, which will not show on a colonoscopy, as this only looks at the large intestine (colon).	NEUTRAL
An upper endoscopy (to look at the esophagus, stomach and small intestine) is another test to rule out Crohns as biopsies can be taken of the tissue during the procedure.	NEUTRAL
Crohns often starts around the terminal ileum (next to the appendix) and can progress to the whole gastrointestinal tract (mouth to anus), as mine has done.	NEUTRAL
A barium swallow through is another test to see any problems in the upper gastrointestinal tract, but this is purely imaging, and biopsies cannot not be taken.	NEUTRAL
As far as I understand, the only conclusive proof of Crohns is biopsy of affected tissue, looked at by a pathologist.	NEUTRAL
IBS is a diagnosis of exclusion - after all available tests are completed and found negative for Crohns or Ulcerative Colitis.	NEUTRAL
It is not an IBD auto-immune disease and in my opinion, a lazy diagnosis by doctors who cannot be bothered to do proper evaluations.	NEGATIVE
Have you been tested for coeliac disease, as this can have similar symptoms to IBD?	NEUTRAL
Liz.	NOT_LABELED
I had something simular happen.	NEUTRAL
I had surgery in August to remove a mass in my small intestine, in the terminal ileum and they biopsy said high probability of Crohns.	NEGATIVE
However, when I had a colonoscopy and endoscopy 5 months later, it showed inflamation.	NEGATIVE
and ulcers throughout my small intestine but this time negative on the Crohns.	NEGATIVE
I do not really understand.	NEGATIVE
The doctor said I could still have it but been in remission during that time.	NEUTRAL
That makes no sense to me.	NEGATIVE
So we still do not know if I have it or not.	NEUTRAL
i have had biopsy that said yes and one that said no, I guess.	NEUTRAL
It just does not make sense to me.	NEGATIVE
Still, the prescription is the same whether I have it or not, steriods to clear up the ulcers and inflamation.	NEUTRAL
i am taking Entocort and Nexium.	NEUTRAL
The doctor told me as long as i am still feeling pretty good by this Summer then will not need to see him again unless I get symptoms again.	POSITIVE
He told me that doctors are reluctant to diagnose Crohns unless they know definitely it is Crohns because of insurance reasons.	NEGATIVE
I guess I can understand that.	NEUTRAL
Still, Id like to know if I have Crohns or if it is something else, what is it?	NEUTRAL
You know?	NOT_LABELED
I hope you get a diagnosis soon.	POSITIVE
I can understand your frustration.	NEGATIVE
I wish you well.	POSITIVE
Take care.	NOT_LABELED
thankyou both for your informative replies ...	POSITIVE
I have heard of people who have chrons in the small intestines ...	NEUTRAL
however when i asked my doctor whether or not this could be a possibility, he said if i had chrons it more than likely would have shown up in the bowel/colon and did not want to talk any further.	NEUTRAL
i feel very frustrated as i have looked into many chrons symptoms from people with chrons and have been through everything they have ..	NEGATIVE
i was overwhelmed to finally find someone else going through what i have ...	NOT_LABELED
i share your opinion of IBS being a lazy diognosis from a doctor ...	NEGATIVE
i just do not think you can be as sick as i have been and it be that ...	NEGATIVE
and do you have to be having an attack of chrons for the colonoscopy/ endoscopy to pick up a positive result ...	NEUTRAL
or can it be picked up when you are not showing any symptoms?	NEUTRAL
... .sounds like Aprils question!	NEUTRAL
anyway, is not it just great when you get better..	POSITIVE
have had 5 weeks of hell and am now feeling normal again!	POSITIVE
how are you girls feeling?	NEUTRAL
good to talk ...	POSITIVE
thanks for listening ,....saradan.	POSITIVE
( steph )	NOT_LABELED
Ok I know I said it wrong, but for the last 2 woman who posted, I was reading that there are 5 different Crohns, not sure of all but remember the most common was the ilieum, then lg intestines, then beggining of sm.	NEUTRAL
intestines the duednum, from mouth to anus.	NEUTRAL
and in some the jejelum, (where they can see with the endo capsule camera, but not with regular endoscope or colonoscope??	NEUTRAL
I was wondering about this myself??	NEUTRAL
Any responses at the jejelum would be appreciated.	POSITIVE
thanks, georgie.	NOT_LABELED
You can have Crohns Disease anywhere in your digestive tract, from your lips to your anus.	NEUTRAL
It is most common in the colon, but it is not exclusive.	NEUTRAL
Think of it as a mean thing living inside of you that can either attack one place or spread to another place, or MOVE to another.	NEGATIVE
This is why patients who have portions of their bowel removed, sometimes have Crohns pop up in a new part.	NEGATIVE
I would recommend getting a capsule endoscopy.	NEUTRAL
You swollow a camera in a pill that sends photos every three seconds to a machine that you wear around your stomach for the day.	NEUTRAL
It does not hurt at all and it eventually comes out naturally like anything else.	POSITIVE
trust me, when a doctor does a colonoscopy, he goes into the small intestines, most people with crohns has it in the iliuem.i got dignosed with crohns disease in the year 2000 ,.	NEUTRAL
and just last year got dignosed with ulcerative colitis and diverticulis.just got out of hospital in time to celebrate christmas, was in hospital 7 times last year with it not fun.if you feel you need a second oppion get one.	NEGATIVE
crohns can even affect the eyes.	NEGATIVE
my eyes look like there bleeding, my tongue has ulcers it goes all the way to my abdmion, mostly right side but affects left side and my back.kidneys are being affected.im going to the cleveland clinic for my crohns now.this is not a disease i wish uppon anyone, both of you sound like you need a second oppion.	NEGATIVE
I am in a similar situation and trying to get a second opinion at this point.	NEUTRAL
I have been having intestinal problems since 2002 and just a year ago got a doctor to finally find a colonoscopy necessary.	NEUTRAL
I was diagnosed from that with non specific non ulcerative colitis.	NEUTRAL
I suffer daily with mucousy diarhea, and abdominal cramping and pain.	NEGATIVE
Recently I develped a peri rectal abcess and fistula that I am seeing a colorectal surgeon for, who informed me that I had been misdiagnosed by the first gastrointestinal doctor because the only two conditions that can because that kind of fistula is crohns or ulcerative colitis.	NEGATIVE
I have only been treated for the currest symptoms with hyoscamine and another medication but I cannot remember what it was offhand...started with an L i think but I could not handle the side effects from it.	NEGATIVE
I am not getting much relief from the medications that I have been given.	NEGATIVE
I am also being treated by my general doctor for anxiety and depression disorder and for marijuana insomnia.	NEUTRAL
