sentence_id	sentence	polarity
1083744548	Are you drinking decaf or caffeinated?	NEUTRAL
350940492	That does sound like you have a food sensitivity to coffee.	NEGATIVE
1099837313	 I don't think it's the caffeine, but one way you can figure out if it's caffeine is to try black or green tea (both are from the same plant).	NEUTRAL
1422180636	 Just be mindful that the green tea can still carry a problem with lead from the processing.	NEGATIVE
1934892816	 Dr. Mercola has articles that explain this more thoroughly.	NEUTRAL
1902757391	 There are some that he explains don't have this risk.	POSITIVE
1882214592	 I know it seems like there shouldn't be a risk, since they are steaming, then drying to keep the leaves green.	POSITIVE
513567436	 So, I'm not sure where the lead comes from.	NEUTRAL
416554499	 But, black tea doesn't carry the same risk.	POSITIVE
684960171	 I myself simply can't drink tea, though, because the tannin bothers me.	NEGATIVE
576436274	I think you're right.	POSITIVE
866997827	 I don't tolerate the tea plant at all myself.	NEGATIVE
1536643017	 The GERD is bothered by it, but I also get headaches from the tea plant.	NEGATIVE
2043428188	 So, like you, I can't touch the real tea.	NEGATIVE
1203401400	 It doesn't really surprise me that you are so attracted to the smell of coffee, even though you are clearly allergic to it.	NEUTRAL
2131799626	 I've learned a few years ago that often both people and pets tend to crave the very things they are allergic or sensitive to.	NEUTRAL
83126042	 I know that this is true even of my cat.	NEUTRAL
1513714680	 She is definitely allergic to grains, but if there is something that smells really good to her that is loaded with grains, she wants it.	NEGATIVE
1599229961	 And, she will try to take it.	NEUTRAL
2012718212	 She isn't normally like this with foods she isn't allergic to.	NEUTRAL
194659775	 If I'm eating meat, which she doesn't seem to have any allergies to that I don't have, she behaves herself quite nicely.	POSITIVE
253016793	 She might beg, but she begs politely instead of trying to take something.	NEUTRAL
2078831917	 When I saw that this happens even with the cat, I knew that what I had read about craving things one is allergic to is true and it can't be just psychological.	NEUTRAL
2015366979	 Cats are obligate carnivores after all.	NEUTRAL
2104219107	 There is likely a psychological connection, but it seems that there must be a physical connection, too, since the cat does this somewhat if something is really rich, like muffins, which I haven't had in forever since I haven't figured out how to make gluten free.	NEUTRAL
1293426315	Yeah we had switched our cats to a grain free food and our dog too called Tasted of the Wild: http://www.tasteofthewildpetfood.com/ You can find their food at your Tractor Supply stores.	NEUTRAL
