sentence_id	sentence	factuality
651514332	Hi, Breast cysts can be classified as either simple or complex.	FACT
1308334390	Simple Cysts (fluid filled sacs) have virtually no chance of containing malignancy; they do not need to be aspirated unless they are too large and causing discomfort.	FACT
1700511941	However a complex cyst is more concerning because it will on occasion be an intracystic cancer.	FACT
1448128037	These type of cysts are also fluid filled sacs but contain a good percentage of solid elements, like old blood or debris.	FACT
1046850526	Usually complex cysts are aspirated and the cells examined under the microscope to better evaluate their nature and to rule out cancer.	FACT
2108873182	 A fine needle aspiration is a simple procedure and you shouldn’t be scared because the site to be biopsied will be numbed with a local anesthetic.	FACT
1061058322	Please take my advice and call your Doctor to reschedule the FNA biopsy ASAP so you can have peace of mind.	OPINION
1159907466	Believe me, knowing what’s going on is much better than not knowing and worrying about it needlessly.	OPINION
1773141681	Best wishes..	NOT_LABELED
1706106055	If you aren't willing to follow your Doctor's advice regarding the necessary testing we cannot offer any further help or advice for you here.	OPINION
767391713	Best wishes and we truly hope that your issue is not a serious one .....	NOT_LABELED
1834068674	Hi, thanks for quick reply.... i understand what you say &amp; will follow it.... I just want to know is it still compulsory for fnac coz now i dont have any lumps &amp; pain...	EXPERIENCE
257515149	Unless you have had another Ultrasound test there is no way for you to know whether you have the same lump or not.	OPINION
1905944761	Obviously you are still not willing to do as your Doctors have advised since you seem to be coming up with any excuse not to have the recommended biopsy.	OPINION
275053332	We are here to help women who are also willing to help themselves and do their part in their health care.	FACT
795261213	 Best wishes.	NOT_LABELED
2040188263	Hi, Not all breast lumps are palpable, but they can certainly be seen when you have an Ultrasound test.	FACT
599516619	Japdip has already advised you that if your Radiologist recommended a biopsy, you should, by all means, follow his/her advice ASAP to make sure that there is nothing serious.	OPINION
59951661911	Believe me that you will feel much better knowing what this lump represents than not knowing.	OPINION
1433205206	Take care..	NOT_LABELED
2033144643	Not even a Radiologist can tell you anything for sure until you have the biopsy and the cells examined by a Pathologist.	FACT
390086057	This lump could be anything and not necessarily breast cancer.	OPINION
709687145	Please understand that we are not doctors and if we can't answer your questions it's because we simply don't know what else to say except to have the biopsy.	OPINION
547396458	Right side came back as invasive grade 2.	EXPERIENCE
1534990510	Waiting for left side results.	EXPERIENCE
753525109	Hi, I am so sorry to hear about your diagnosis.	OPINION
1093793583	I know finding out that we have breast cancer is scary and overwhelming but don’t be discouraged.	OPINION
1865506768	Breast cancer is a treatable disease since new technologies and many advanced treatments are available these days.	FACT
24989539	Your team of Doctors will plan treatments designed specifically for you and hopefully they will be successful in achieving complete recovery.	OPINION
1308037340	Hoping that the biopsy done on your left breast will result in benign findings.	OPINION
1773395385	Best wishes…	NOT_LABELED
306911752	Please let us know if you need anything.	FACT
1539687104	 Zouzi , thank you for giving such wonderful support to rumpled and all your members on the community.	OPINION
37707997	Your friends at MedHelp, Cheryl	NOT_LABELED
1650221801	I am so sorry about your diagnoses.	OPINION
1280269948	 I know how scary it is, and how alone you can feel.	OPINION
592340413	 Please know you are being thought of.	NOT_LABELED
666306322	  Your doctors will come up with a great plan, and you will beat this!	OPINION
725394286	  As I have been told more than once "Fight Like A Girl!".	OPINION
1371019640	 Hugs!!!	NOT_LABELED
569155981	Thank you Cheryl for your kind acknowledgment.	NOT_LABELED
2007448578	It is very appreciated! :)	NOT_LABELED
752281920	I really hope "rumpled" will be just fine once her treatments start.	OPINION
1410607360	Hi and thank you for the update.	NOT_LABELED
815642281	It’s rather unusual to have cancer in both breasts, but unfortunately it can occur and I am really sorry that this happened to you.	OPINION
960433479	Even if you are one of the few women to experience cancer bilaterally, the scenario isn't as dire as it sounds.	OPINION
1423803463	Many studies have shown that a woman's prognosis is not necessarily worse if she has breast cancer in both breasts, and that the outcomes in such cases are often excellent.	FACT
888965391	Although each breast may require a different treatment strategy, the overall treatment for breast cancer in both breasts is no different than for cancer that occurs in just one breast.	FACT
180248256	The good thing is that the tumor in your right breast is rather small and is ER/PR positive which will respond well to medication, such as Tamoxifen or other similar drugs to lower considerably the risk of recurrence.	OPINION
894201732	The tumor in your left breast is Grade 1 which is also a good thing.	OPINION
818386018	It’s going to be a long journey but don’t be disheartened.	OPINION
655754989	Take one step at a time, follow your Doctor’s recommendation and I am sure you’ll be able to beat this disease like many of us did.	OPINION
319088625	Wishing you all the best and successful outcome.	OPINION
1674073552	Hi, ER (Estrogen) and PR (Progesterone) receptor status tests are done to show whether or not one or both of those hormones fuel your tumor.	FACT
56016538	Estrogen positive, even if it’s weak, medication such as Tamoxifen (or other similar drugs) is usually recommended to lower the risk of recurrence in the same breast and helps prevent new cancer in the opposite breast.	FACT
2117673992	 Cancer that is hormone-sensitive is slightly slower growing and has a better chance of responding to hormone-suppression drugs, than cancer that is hormone receptor negative.	FACT
1310647909	 HER-2/neu negative cancer is also a good thing, because it is considered less aggressive than HER-2 positive.	FACT
2091279072	 I am sure that your Doctors will explain all this to you in details, when you’ll meet them.	OPINION
357286565	 Since you have decided on a double mastectomy, I will send you a link by PM.	FACT
1748854575	Wishing you all the best and I hope that everything goes smoothly for you.	NOT_LABELED
14332052062	Take care..	NOT_LABELED
369657961	Hi  I just did a follow up ultra sound, on a lump that my radiologist had been following for a year and a half.	EXPERIENCE
1094484228	 My results said that it grew and changed from 5mm to 9mm diagnoses bi raids 4  so i had the biopsy doctor calls and said that tissues are benign.	EXPERIENCE
699794779	  Then he proceeds to tell me that i have a intraductal papilloma 9mm.	EXPERIENCE
604850318	 he then stated that i need and excisional biopsy  time to see a breast surgent,  during the conversation he stated that it is very rare that these are cancer only a 5% chance.	EXPERIENCE
1008018793	  So my questions is can i leave this alone i prefer to just follow it?	FACT
1895255908	  If i left it in and it did turn to cancer what could the outcome be how dangerous could it get even if i am being followed.	FACT
1790446210	   I again would prefer to just leave it alone.	OPINION
296676229	 Thank you.	NOT_LABELED
591027433	I would NOT just leave it alone and I can't imagine why anyone would choose to do this.	OPINION
1092709910	5% may not seem much of a chance to you but even a 1% chance would send me to a Breast Surgeon immediately.	OPINION
1569487267	You can do whatever you feel comfortable with but since there has been growth give it some more thought before you decide to ignore this condition.	OPINION
536793672	Even if you do see a Breast Surgeon there is a chance that he/she may agree with waiting and doing close interval testing and the choice will still be yours and yours alone.	OPINION
1840759187	Please at least see the Surgeon, OK ??	NOT_LABELED
2113575042	  Regards .....	NOT_LABELED
1467621477	Hi thank you for your feed back.	NOT_LABELED
172427276	 I am seeing a breast sergeant on Thursday DEC 3ird.	FACT
1988569168	I have also schedule a appointment for a second opinion in January of 2016.	FACT
1066194903	 Please know that i am concerned and do not take this lightly,  but for me i have had so many scares and they have thank goodness all come back benign.	EXPERIENCE
2146943405	It is scary but for me i feel maybe it would just be better to follow this and see if there is a change.	OPINION
1957563177	I will post more on Thursday when i have the results.	NOT_LABELED
1605129786	Regards.....	NOT_LABELED
187137335	Great to hear that you are going to keep seeking a definite answer.	OPINION
1457433594	I'm all for second opinions and I believe that a person should keep seeking information until they are comfortable with all the answers.	OPINION
1820748017	When I hear "don't worry about it" I always want to know "WHY" I shouldn't worry :) Always appreciate follow-ups .... Thanks	OPINION
12208040	I think you made the right choice, for sure!	OPINION
1833038020	 Better safe then sorry!	OPINION
1858370107	 Thinking of you!	NOT_LABELED
709414354	I was initially diagnosed with intraductal papilloma (after a biopsy came back negative for cancer).	EXPERIENCE
610689500	 I had this removed.	EXPERIENCE
60674983	 My pathology results came back with DCIS.	EXPERIENCE
